StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form_First Click,Consent Form_Last Click,Consent Form_Page Submit,Consent Form_Click Count,Consent Form,Prolific ID_First Click,Prolific ID_Last Click,Prolific ID_Page Submit,Prolific ID_Click Count,Visualization_First Click,Visualization_Last Click,Visualization_Page Submit,Visualization_Click Count,Visualization_First Click,Visualization_Last Click,Visualization_Page Submit,Visualization_Click Count,Self Assessment_First Click,Self Assessment_Last Click,Self Assessment_Page Submit,Self Assessment_Click Count,Visual Literacy,Understanding,Complexity,Complexity - Unclear,Animation_First Click,Animation_Last Click,Animation_Page Submit,Animation_Click Count,Animation 1,Animation 2,Knowledge_First Click,Knowledge_Last Click,Knowledge_Page Submit,Knowledge_Click Count,Knowledge,Comprehension_First Click,Comprehension_Last Click,Comprehension_Page Submit,Comprehension_Click Count,Comp - Summary,Comp - Takeaway,Application_First Click,Application_Last Click,Application_Page Submit,Application_Click Count,Application,Analysis_First Click,Analysis_Last Click,Analysis_Page Submit,Analysis_Click Count,Analysis,Synthesis_First Click,Synthesis_Last Click,Synthesis_Page Submit,Synthesis_Click Count,Synthesis AR,Evaluation_First Click,Evaluation_Last Click,Evaluation_Page Submit,Evaluation_Click Count,Evaluation,Knowledge 2_First Click,Knowledge 2_Last Click,Knowledge 2_Page Submit,Knowledge 2_Click Count,Knowledge 2,Trust_First Click,Trust_Last Click,Trust_Page Submit,Trust_Click Count,Trust,Trust - Explanation,Survey-Timer_First Click,Survey-Timer_Last Click,Survey-Timer_Page Submit,Survey-Timer_Click Count,S2,S3,S3_3_TEXT,S4,S4_6_TEXT,S5,S6,S7,S7_6_TEXT,S8,S9,PROLIFIC_PID,Visualization,CONDITION
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Are Visualizations About COVID-19 easy to understand?

 

Thank you for your interest in joining a study about COVID-19 visualizations. The study is being run by Carolina Nobre from Harvard University. This page provides some information about the research. 

 

What is the goal of this study?

 

The goal is to look at whether static and animated visualizations showing COVID-19 data are easy to understand. The results will be used to create better public health messaging about COVID-19 through visualizations. 

 

What can I expect if I take part in this research? 

 

Your participation is entirely up to you, and you may stop at any time. If you choose to take part, you will answer questions about COVID-19 visualizations. The survey will be online and should take around 20 minutes to finish.

 

For each visualization, you will be asked to answer questions that gauge your understanding of the visualization.  

 

 

You will be required to finish the whole survey in a SINGLE SITTING, with no distractions. If you need more time to finish the survey, you can choose to take longer than 20 minutes, but you may be timed out by Prolific after around  50 minutes.

 

When taking the survey, you will not have any contact with members of the study team. All information collected will be maintained anonymously. Names and other identifying information, such as IP addresses, will not be saved. 

 

What should I know about the research study?

 
Whether or not you take part is up to you. You can choose not to take part. You can agree to take part and later change your mind. Your decision will not be held against you.

 

Participants who score within the top 15% will receive a bonus pay so please fill this out as accurately as you can.

 

Who can I talk to? 

 

If you have questions, concerns, or a problem, please reach out to:

 

Carolina Nobre

Harvard Data Science Fellow

 

cnobre@seas.harvard.edu",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How familiar are you with this type of visualization?,How hard was it to understand this visualization?,"On a scale of 1 (not complex) to 5 (very complex), how complex did you find the visual design of this visualization?",What was unclear / hard to understand?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How helpful was the animation in understanding this visualization?,Do you think you would have understood the visualization just as well without the animation?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Approximately how many hospitalizations per 100,000 people were there in Florida 2 weeks ago?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Describe what this data visualization tells you.,What would you say is the main takeaway?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the difference in hospitalizations over the last two weeks in Washington DC?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you describe the trends in COVID 19 hospitalization over the last 2 weeks?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given the hospitalization rates shown in the visualization, how might the number of hospitalized people change in Arkansas and in Rhode Island in the next 2 weeks?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Using evidence from this graph, describe measures that could help to reduce the number of COVID hospitalizations across the US. Make sure and explain how the graph informed your conclusions.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Approximately how many hospitalizations per 100,000 people were there in Missouri 2 weeks ago?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"On a scale of 1 (do not trust at all) to 5 (trust completely) , how much do you trust this visualization?",Please explain your rating,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How old are you?,Which best describes your gender? Please choose as many options as apply. - Selected Choice,Which best describes your gender? Please choose as many options as apply. - Another option not listed here (please specify): - Text,Which best describes your race? Please choose as many options as apply. - Selected Choice,Which best describes your race? Please choose as many options as apply. - Another option not listed here (please specify): - Text,What is your highest level of formal education?,How would describe the area where you live?,"Generally speaking, which of the following best describes your political affiliation? - Selected Choice","Generally speaking, which of the following best describes your political affiliation? - Another option not listed here (please specify): - Text","Thinking about your general approach to issues, do you consider yourself to be ________?",How carefully did you complete this survey? Please answer honestly. Your payment does NOT depend on your response to this question.,PROLIFIC_PID,Visualization,CONDITION
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID230_FIRST_CLICK""}","{""ImportId"":""QID230_LAST_CLICK""}","{""ImportId"":""QID230_PAGE_SUBMIT""}","{""ImportId"":""QID230_CLICK_COUNT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID229_FIRST_CLICK""}","{""ImportId"":""QID229_LAST_CLICK""}","{""ImportId"":""QID229_PAGE_SUBMIT""}","{""ImportId"":""QID229_CLICK_COUNT""}","{""ImportId"":""QID296_FIRST_CLICK""}","{""ImportId"":""QID296_LAST_CLICK""}","{""ImportId"":""QID296_PAGE_SUBMIT""}","{""ImportId"":""QID296_CLICK_COUNT""}","{""ImportId"":""QID352_FIRST_CLICK""}","{""ImportId"":""QID352_LAST_CLICK""}","{""ImportId"":""QID352_PAGE_SUBMIT""}","{""ImportId"":""QID352_CLICK_COUNT""}","{""ImportId"":""QID318_FIRST_CLICK""}","{""ImportId"":""QID318_LAST_CLICK""}","{""ImportId"":""QID318_PAGE_SUBMIT""}","{""ImportId"":""QID318_CLICK_COUNT""}","{""ImportId"":""QID330""}","{""ImportId"":""QID317""}","{""ImportId"":""QID329""}","{""ImportId"":""QID326_TEXT""}","{""ImportId"":""QID354_FIRST_CLICK""}","{""ImportId"":""QID354_LAST_CLICK""}","{""ImportId"":""QID354_PAGE_SUBMIT""}","{""ImportId"":""QID354_CLICK_COUNT""}","{""ImportId"":""QID350""}","{""ImportId"":""QID351""}","{""ImportId"":""QID297_FIRST_CLICK""}","{""ImportId"":""QID297_LAST_CLICK""}","{""ImportId"":""QID297_PAGE_SUBMIT""}","{""ImportId"":""QID297_CLICK_COUNT""}","{""ImportId"":""QID299_TEXT""}","{""ImportId"":""QID300_FIRST_CLICK""}","{""ImportId"":""QID300_LAST_CLICK""}","{""ImportId"":""QID300_PAGE_SUBMIT""}","{""ImportId"":""QID300_CLICK_COUNT""}","{""ImportId"":""QID302_TEXT""}","{""ImportId"":""QID331_TEXT""}","{""ImportId"":""QID303_FIRST_CLICK""}","{""ImportId"":""QID303_LAST_CLICK""}","{""ImportId"":""QID303_PAGE_SUBMIT""}","{""ImportId"":""QID303_CLICK_COUNT""}","{""ImportId"":""QID305_TEXT""}","{""ImportId"":""QID306_FIRST_CLICK""}","{""ImportId"":""QID306_LAST_CLICK""}","{""ImportId"":""QID306_PAGE_SUBMIT""}","{""ImportId"":""QID306_CLICK_COUNT""}","{""ImportId"":""QID308_TEXT""}","{""ImportId"":""QID309_FIRST_CLICK""}","{""ImportId"":""QID309_LAST_CLICK""}","{""ImportId"":""QID309_PAGE_SUBMIT""}","{""ImportId"":""QID309_CLICK_COUNT""}","{""ImportId"":""QID311_TEXT""}","{""ImportId"":""QID312_FIRST_CLICK""}","{""ImportId"":""QID312_LAST_CLICK""}","{""ImportId"":""QID312_PAGE_SUBMIT""}","{""ImportId"":""QID312_CLICK_COUNT""}","{""ImportId"":""QID314_TEXT""}","{""ImportId"":""QID338_FIRST_CLICK""}","{""ImportId"":""QID338_LAST_CLICK""}","{""ImportId"":""QID338_PAGE_SUBMIT""}","{""ImportId"":""QID338_CLICK_COUNT""}","{""ImportId"":""QID340_TEXT""}","{""ImportId"":""QID341_FIRST_CLICK""}","{""ImportId"":""QID341_LAST_CLICK""}","{""ImportId"":""QID341_PAGE_SUBMIT""}","{""ImportId"":""QID341_CLICK_COUNT""}","{""ImportId"":""QID343""}","{""ImportId"":""QID344_TEXT""}","{""ImportId"":""QID228_FIRST_CLICK""}","{""ImportId"":""QID228_LAST_CLICK""}","{""ImportId"":""QID228_PAGE_SUBMIT""}","{""ImportId"":""QID228_CLICK_COUNT""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_5_TEXT""}","{""ImportId"":""QID336""}","{""ImportId"":""QID336_6_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID335""}","{""ImportId"":""QID333""}","{""ImportId"":""QID333_6_TEXT""}","{""ImportId"":""QID334""}","{""ImportId"":""QID138""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Visualization""}","{""ImportId"":""CONDITION""}"
2021-08-20 20:02:04,2021-08-20 20:07:22,0,98.248.107.196,100,318,1,2021-08-20 20:07:23,R_3fvbrrxnaIRjmRb,,,,,37.6844024658203125,-122.4380035400390625,anonymous,EN,23.716,23.716,24.695,1,1,0,0,1.183,0,1.759,1.759,56.073,1,,,,,4.605,11.627,11.952,5,2,6,5,too many arrows and the labels would be better bolded,2.99,4.304,6.871,2,2,3,1.829,10.141,10.689,2,11,3.124,42.963,43.262,4,if the number of hospitalizations increased or decreased in the last two weeks across 50 states,increase or decrease,1.89,13.754,17.168,5,4,12.888,29.628,30.964,2,about half increased half decreased,10.391,15.197,15.491,2,continue going up,1.946,1.946,29.985,1,getting vaccinated because a lot of southern states are refusing vaccination,1.538,7.097,7.405,2,6,3.197,6.197,12.287,4,6,whos the source,1.821,10.373,11.399,7,1,1,,2,,4,3,3,,4,5,5f2b314888f11d54bc1590d5,scatter arrows,animated
2021-08-20 19:59:04,2021-08-20 20:20:10,0,73.34.206.214,100,1265,1,2021-08-20 20:20:10,R_UzkqMdPmIbpuBDH,,,,,39.9969940185546875,-105.0973968505859375,anonymous,EN,27.586,53.932,55.279,11,1,0,0,4.449,0,0,0,61.706,0,,,,,6.5,32.262,38.508,4,2,2,2,,7.001,9.462,10.358,2,3,3,3.35,3.35,21.624,1,11,4.259,372.851,373.853,29,"The data in this visualization shows whether there has been in increase or decrease in Covid-19 hospitalizations in the past two weeks in each state, and relates that information to the percentage of state that has been fully vaccinated. Red arrows show an increase in hospitalizations (how big a change determined by length of arrow), while purple arrows show a decrease.


","In general, the states with a higher percentage of their population vaccinated, the number of Covid-19 cases have decreased.  The general trend of states with fewer people vaccinated is an increase in the number of cases.",2.666,58.859,66.023,3,3,2.9,12.166,91.87,2,"The general trend could be described as a decrease in cases in states with a higher number of people fully vaccinated, and an increase in cases among states with fewer fully-vaccinated individuals.  This does not hold true for every state, but the evidence supports this general trend.",11.347,11.347,113.142,1,"Given the data, it appears as though Arkansas could increase their number of hospitalizations by a significant amount over the next two weeks.  As for Rhode Island, the number of hospitalizations could either decrease, on increase at a lower rate. There are some extenuating factors such as population density that could skew the numbers, so it is hard to make a definitive guess.",2.401,241.497,254.875,5,"Using the data presented in the graph, in order to reduce the number of Covid-19 hospitalizations across the United States, a higher percentage of individuals would need to be vaccinated.  The trend from the graph shows that in states where a higher percentage of the population has been vaccinated, the cases of hospitalization are reduced, or at least increasing at a slower rate.  Arkansas, Missouri, Nevada, and Florida all have rates of under 50% vaccinated, and a large increase in Covid-19 hospitalizations over the last few weeks, whereas states such as Maine and Vermont with an over 60% vaccination rate have seen a decrease in their hospitalizations.",1.73,1.73,12.585,1,7,3.68,59.067,110.024,8,5,"The data seems to reinforce my preconceived notions of vaccine effectiveness.  I rate it less than a 4 or 5 because I do not see a source for these numbers represented on the graph.  Were there a trustworthy source, perhaps with a hyperlink to go to the webpage, I would trust this graph much more.  Perhaps there was a source on the video that I don't remember.",1.571,25.126,27.763,8,2,2,,6,Mixed,4,2,4,,4,5,61204f149528999a0b7a085e,scatter arrows,animated
2021-08-20 20:11:46,2021-08-20 20:20:53,0,69.251.252.188,100,546,1,2021-08-20 20:20:54,R_3PHlPYD3qwhrCNu,,,,,38.873199462890625,-77.1150970458984375,anonymous,EN,8.189,8.189,9.406,1,1,0,0,1.816,0,0,0,64.583,0,,,,,6.512,21.12,22.517,3,2,3,5,,2.704,6.119,6.922,3,5,3,3.537,20.13,25.184,2,11,5.501,122.434,123.412,4,the increase or decrease in the number of covid hospitalizations during the last two weeks,states are experiencing very different covid experiences,15.1,47.007,47.616,3,2,6.608,6.608,15.026,1,Mostly increasing,4.312,23.846,27.205,3,increase,4.788,4.788,15.676,1,Do whatever the states with decrease are doing,2.669,7.547,8.036,3,7,4.85,5.396,137.216,2,7,I understand the point of this chart but its very visually overwhelming,4.1,22,23.534,7,1,1,,5,,4,3,4,,5,4,5e21075ee1f46740a7ef73d9,scatter arrows,animated
2021-08-20 20:12:17,2021-08-20 20:23:07,0,73.238.8.117,100,649,1,2021-08-20 20:23:07,R_dgRr7mOAkiKtbHz,,,,,43.701904296875,-72.2826995849609375,anonymous,EN,10.741,10.741,12.419,1,1,0,0,1.833,0,0,0,68.091,0,,,,,6.188,14.02,15.228,4,5,3,2,,5.117,6.927,9.821,2,1,1,21.45,21.45,23.795,1,11,115.701,148.783,158.62,5,"It tells me the difference in case levels during a two week time span, as well as the relation to vaccination levels",vaccination levels v. covid cases rate,12.468,20.035,22.089,4,4,6.502,12.266,13.099,3,"It has generally increased ",26.525,68.87,109.583,3,"The number of hospitalized people in Arkansas in the next two weeks will probably reach a similar level as the current number of hospitalized people in Nevada. For Rhode Island, the number of people will reach a similar level as the current number of people in Missouri. ",9.085,109.712,110.762,3,"The main measure that could help reduce the number of COVID hospitalizations is increasing the vaccination level. States with the highest rates of vaccination have seen a decrease in hospitalization, and the states that have a moderate to high level of vaccination have seen some decreases and some increases in the level of hospitalization, but the states that have seen an increase have seen a very small increase of two to three people hospitalized, where as the states with low vaccination rates have seen large increases in the number of hospitalized people. ",8.408,8.408,10.846,1,6,9.574,45.818,52.124,5,6,"I trust the visual because it makes sense, however, I do wish there was a source attached. If it came from a reputable source, I would trust it more. ",1.369,18.96,21.152,7,1,1,,5,,4,1,3,,4,4,611666a95ae1db3cff681f5f,scatter arrows,animated
2021-08-20 20:10:20,2021-08-20 20:26:03,0,73.148.108.29,100,943,1,2021-08-20 20:26:03,R_2ffb1jEEmiqVSEQ,,,,,38.27099609375,-77.54949951171875,anonymous,EN,32.843,32.843,34.198,1,1,0,0,3.908,0,9.349,9.349,66.881,1,,,,,18.311,29.607,30.516,3,2,2,2,,4.922,10.322,11.17,2,3,1,58.364,58.364,62.769,1,1000,10.117,224.365,226.372,3,The states with more vaccinated people have hospitalizations decreased in the last 2 weeks,The states with more vaccinated people have hospitalizations decreased in the last 2 weeks,44.567,80.937,85.812,4,55,4.292,97.459,97.961,3,They have reduced for states that have a large number of vaccinations,10.966,10.966,27.452,1,They could continue to increase if nothing changes,12.445,12.445,28.891,1,"from this graph, increase vaccinations",81.513,81.513,84.438,1,24,7.625,73.3,75.809,3,5,"I thought I understood it but I'm not sure that I do. Also, where is the data coming from for this study? Are all Americans accounted for? ",43.688,67.312,68.573,7,2,1,,5,,3,2,5,,3,4,61087ef60a648b457ac43bd9,scatter arrows,animated
2021-08-20 20:15:19,2021-08-20 20:26:35,0,47.134.194.173,100,676,1,2021-08-20 20:26:35,R_3KILBhnaYJppWO3,,,,,36.20989990234375,-81.67240142822265625,anonymous,EN,31.671,31.671,33.075,1,1,0,0,2.954,0,6.651,6.651,68.944,1,,,,,5.238,10.5,11.557,3,2,5,3,"When all of the arrows popped up at once, I felt overwhelmed. ",4.254,8.189,11.3,2,5,3,16.705,16.705,19.838,1,10,7.41,100.473,127.294,10,"It tells me how much covid cases have increased or decreased in different states over 2 weeks. It also informs me what percentage of people from each place have been vaccinated. ","The main takeaway is that the places with decreased covid cases are the generally the ones with a higher vaccine percentage. ",23.564,52.218,56.853,3,5,3.513,3.513,18.019,1,They are rising more than falling.,18.442,18.442,52.452,1,"Assuming the vaccine percentages stay the same, it can be assumed by the visualization that AK and RI would increase. ",38.494,38.494,70.83,1,"The graph has informed me that the places with a higher vaccine percentages have covid cases that are slowly declining. ",10.073,10.073,13.363,1,8,3.628,11.409,67.578,2,7,"It's a good visualization in that it is clear, appealing in color, and informative about current events. The only hesitation I would have is not having any information on where the graph is from. ",8.376,63.737,71.323,7,1,1,,5,,3,1,5,,3,4,611189554654cc7dd530f161,scatter arrows,animated
2021-08-20 20:13:55,2021-08-20 20:28:00,0,207.38.163.213,100,844,1,2021-08-20 20:28:01,R_3q3edSxwmRQH0Qh,,,,,40.7429046630859375,-73.93920135498046875,anonymous,EN,14.599,14.599,16.638,1,1,0,0,4.018,0,0,0,63.474,0,,,,,7.086,25.671,26.807,3,1,2,2,,3.641,14.351,15.32,2,3,1,24.025,24.025,28.566,1,10,6.472,150.419,151.352,5,Shows the change in COVID-related hospitalizations in different states with relation to the percentage of vaccinated individuals in that state in the past 2 weeks,"More vaccinated states experienced a decrease in COVID-related hospitalizations, showing that vaccines are effective in spreading the virus",4.399,4.399,14.166,1,3,3.552,99.04,101.825,8,States with less vaccinated populations experienced more of an increase in COVID 19 hospitalization over the last 2 weeks,27.356,55.683,77.863,3,Arkansas' number of hospitalized people will continue to increase at a higher rate whereas Rhode Island will increase at a slower rate or may even stay the same,12.153,12.153,123.226,1,Encouraging more people to get vaccinated is the way to help reduce the number of COVID patients across the country. This is because states that are more than 50% vaccinated generally experience a decrease in COVID hospitalizations whereas states that are less vaccinated continue to have high rates of COVID patients,2.971,23.131,25.794,2,17,11.131,16.162,123.584,2,7,The states that are shown in the 60-70 percentage column are New England states which are the most vaccinated states and states that are in the less vaccinated columns are Southern states that are the least vaccinated states in the US currently,2.206,46.869,50.181,7,1,1,,2,,2,3,3,,4,4,612053df28e85177e12b5d89,scatter arrows,animated
2021-08-20 20:21:33,2021-08-20 20:32:00,0,75.143.49.189,100,626,1,2021-08-20 20:32:00,R_5769pEC7SOBEhTb,,,,,42.2554931640625,-71.7718963623046875,anonymous,EN,14.344,14.344,15.589,1,1,0,0,2.328,0,0,0,68.782,0,,,,,9.128,14.462,16.114,3,1,1,2,,2.433,5.512,7.134,2,3,3,5.244,18.498,25.334,2,11,4.133,69.782,86.885,6,"It shows several states and the difference in number of people hospitalized two weeks ago vs today, and also references the vaccinated population percentage","States with higher vaccination percentages are more likely to see a decrease (or at least smaller increase) in hospitalizations over time
",3.768,18.278,20.868,2,3,13.153,82.929,83.594,14,"It appears to be going up the most in states with under 50% percent vaccination, and going down or increasing the least in states above 50%
",12.732,17.231,47.237,2,"Given the trends, it appears these two states will both go up in hospitalizations, Arkansas by much more than Rhode Island",6.949,104.659,105.166,9,"Increasing vaccinated population numbers could help reduce the number of COVID hospitalizations. This is shown in the graph because as the vaccination percentage increases, the number of people hospitalized overall goes down, and the trends per state are also more often downward in the higher percentage end.",0.695,17.304,18.187,9,7,1.029,43.439,82.767,21,5,"I'd like to say I trust it since I'm being surveyed about it, but that being said there is no source listed for the data.",1.701,22.287,24.536,7,1,1,,5,,2,3,4,,5,5,6108c4f8c1ecaeaf761f1a0a,scatter arrows,animated
